year,district_id,district_name,population_thousands,total_cases,api,aber,spr,pf_percent,deaths,source_url,source_sha256,metric_scope
2012,OD-DIST-jagatsinghpur,Jagatsinghpur,1147.0,191,0.17,8.66,0.19,46.6,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-jajpur,Jajpur,1853.0,1147,0.62,7.19,0.86,67.48,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-jharsuguda,Jharsuguda,589.0,326,0.55,6.86,0.81,92.02,1,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-kalahandi,Kalahandi,1605.0,19053,11.87,16.42,7.23,91.04,13,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-kandhamal,Kandhamal,743.0,18116,24.38,27.28,8.94,96.22,6,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-kendrapara,Kendrapara,1458.0,146,0.1,8.48,0.12,11.64,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-keonjhar,Keonjhar,1835.0,21213,11.56,15.35,7.53,95.38,3,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-khordha,Khordha,2296.0,1069,0.47,5.03,0.93,39.94,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-koraput,Koraput,1403.0,38867,27.7,12.21,22.68,94.57,5,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-malkangiri,Malkangiri,627.0,14257,22.74,17.61,12.91,92.33,5,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
